cclasstrib;cst;descricao;versao_it;fonte
410019;410;Exclusão da gorjeta na base de cálculo no fornecimento de alimentação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410020;410;Exclusão do valor de intermediação na base de cálculo no fornecimento de alimentação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410021;410;Contribuição de que trata o art. 149-A da Constituição Federal;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410022;410;Consolidação da propriedade do bem pelo credor;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410023;410;Alienação de bens móveis ou imóveis que tenham sido objeto de garantia em que o prestador da garantia não seja contribuinte;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410024;410;Consolidação da propriedade do bem pelo grupo de consórcio;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410025;410;Alienação de bem que tenha sido objeto de garantia em que o prestador da garantia não seja contribuinte;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410026;410;Doação com anulação de crédito;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410027;410;Exportação de serviço ou de bem imaterial;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410028;410;Operações com bens imóveis realizadas por pessoas físicas não consideradas contribuintes;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410029;410;Operações acobertadas somente pelo ICMS;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410030;410;Estorno de crédito por perecimento, deteriorização, roubo, furto ou extravio.;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410031;410;Fornecimento em período anterior ao início de vigência de incidências de CBS e IBS;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410032;410;Tributos incidentes na operação que não integram a base de cálculo do IBS e da CBS;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410033;410;Operações de Fundos de Investimento Imobiliário (FII) e Fundos de Investimento nas Cadeias Produtivas do Agronegócio (Fiagro);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410034;410;Operações de fundos de investimento;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410035;410;Fornecimento realizado por nanoempreendedor;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410036;410;Descontos incondicionais;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410037;410;Importação de bens materiais sem incidência de IBS e CBS;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410999;410;Operações não onerosas sem previsão de tributação, não especificadas anteriormente;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
510001;510;Operações, sujeitas a diferimento, com energia elétrica, relativas à importação, geração, comercialização, distribuição e transmissão;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
515001;515;Operações, sujeitas a diferimento, com insumos agropecuários e aquícolas (Anexo IX);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550001;550;Exportações de bens materiais;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550002;550;Regime de Trânsito;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550003;550;Regimes de Depósito (art. 85);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550004;550;Regimes de Depósito (art. 87);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550005;550;Regimes de Depósito (art. 87, Parágrafo único);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550006;550;Regimes de Permanência Temporária;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550007;550;Regimes de Aperfeiçoamento;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550008;550;Importação de bens para o Regime de Repetro-Temporário;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550009;550;GNL-Temporário;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550010;550;Repetro-Permanente;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550011;550;Repetro-Industrialização;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550012;550;Repetro-Nacional;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550013;550;Repetro-Entreposto;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550014;550;Zona de Processamento de Exportação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550015;550;Regime Tributário para Incentivo à Modernização e à Ampliação da Estrutura Portuária;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550016;550;Regime Especial de Incentivos para o Desenvolvimento da Infraestrutura;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550017;550;Regime Tributário para Incentivo à Atividade Econômica Naval;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550018;550;Desoneração da aquisição de bens de capital;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550019;550;Importação de bem material por indústria incentivada para utilização na ZFM;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550020;550;Áreas de livre comércio;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550021;550;Industrialização destinada a exportações;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550022;550;Regime Especial de Incentivos para a Produção de Hidrogênio de Baixa Emissão de Carbono (Rehidro);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550023;550;Operações com hidrocarbonetos líquidos derivados de petróleo não combustíveis ou de gás natural, inclusive nafta;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550024;550;Regime Tributário para Incentivo à Atividade Naval - Renaval (Art. 107, II);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
550025;550;Regime Tributário para Incentivo à Atividade Naval - Renaval (Art. 107, III);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620001;620;Tributação monofásica sobre combustíveis;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620002;620;Tributação monofásica com responsabilidade pela retenção sobre combustíveis;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620003;620;Tributação monofásica com responsabilidade de retenção de tributos por terceiros;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620004;620;Tributação monofásica sobre mistura de EAC com gasolina A em percentual superior ao obrigatório;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620005;620;Tributação monofásica sobre mistura de EAC com gasolina A em percentual inferior ao obrigatório;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620006;620;Tributação monofásica sobre combustíveis cobrada anteriormente;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
620007;620;Perecimento, deteriorização, roubo, furto ou extravio no regime monofásico;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
800001;800;Fusão, cisão ou incorporação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
800002;800;Transferência de crédito do associado, inclusive as cooperativas singulares;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
810001;810;Crédito presumido sobre o valor apurado nos fornecimentos a partir da ZFM;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
811001;811;Anulação de Crédito por Saídas Imunes/Isentas;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
811002;811;Débitos de notas fiscais não processadas na apuração;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
811003;811;Desenquadramento do Simples Nacional;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820001;820;Documento com informações de fornecimento de serviços de planos de assistência à saúde elencados no art. 234 da Lei Complementar nº 214, de 2025;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820002;820;Documento com informações de fornecimento de serviços de planos de assistência funerária;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820003;820;Documento com informações de fornecimento de serviços de planos de assistência à saúde de animais domésticos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820004;820;Documento com informações de prestação de serviços de concursos de prognósticos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820005;820;Documento com informações de alienação de bens imóveis;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820006;820;Documento com informações de fornecimento de serviços de exploração de via;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820007;820;Documento com informações de fornecimento de serviços financeiros;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820008;820;Documento com informações de fornecimento de serviço continuado, mas com tributação realizada em fatura anterior;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
820009;820;Cobrança relativa a fornecimentos declarados em outro documento;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
830001;830;Documento com exclusão da BC da CBS e do IBS de energia elétrica fornecida pela distribuidora à UC;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
